,State,County of County_Animals,ANSI of County_Animals,Ag District,Ag District Code,Year of County_Animals,"CATTLE, COWS, BEEF - INVENTORY","CATTLE, COWS, MILK - INVENTORY","CATTLE, INCL CALVES - INVENTORY","CATTLE, ON FEED - INVENTORY",HOGS - INVENTORY,TURKEYS - INVENTORY
0,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2010,5100.0,400.0,12300.0,52.0,48.0,39.0
1,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2011,4800.0,400.0,12100.0,52.0,48.0,39.0
2,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2012,4900.0,400.0,11900.0,52.0,48.0,39.0
3,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2013,4800.0,300.0,10400.0,67.0,82.0,51.0
4,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2014,4400.0,300.0,9900.0,81.0,116.0,63.0
5,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2015,4400.0,400.0,10000.0,96.0,149.0,76.0
6,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2016,4400.0,300.0,11000.0,110.0,183.0,88.0
7,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2017,4400.0,300.0,10800.0,125.0,217.0,100.0
8,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2018,4200.0,100.0,8700.0,138.0,208.0,98.0
9,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2019,4300.0,100.0,8600.0,151.0,199.0,97.0
10,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2020,4200.0,100.0,8300.0,164.0,189.0,95.0
11,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2021,3900.0,100.0,7900.0,177.0,180.0,94.0
12,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2022,4100.0,100.0,8100.0,190.0,171.0,92.0
13,MINNESOTA,AITKIN,27001,EAST CENTRAL,60,2023,4100.0,100.0,8000.0,190.0,171.0,92.0
14,MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2010,700.0,200.0,2200.0,273.0,170.0,29.0
15,MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2011,700.0,200.0,2200.0,273.0,170.0,29.0
16,MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2012,700.0,200.0,2200.0,273.0,170.0,29.0
17,MINNESOTA,ANOKA,27003,EAST CENTRAL,60,2013,700.0,200.0,1600.0,274.0,165.0,29.0
